marker,LG,position
TIG135_24510,2,0.0
TIG135_24791,2,0.0
TIG135_64321,2,6.8
TIG135_64389,2,6.8
TIG135_64421,2,6.8
TIG135_68294,2,6.8
TIG135_141817,2,6.8
TIG135_141856,2,6.8
TIG135_145074,2,6.8
TIG135_146698,2,6.8
TIG135_146763,2,6.8
TIG135_146913,2,6.8
TIG135_146931,2,6.8
TIG135_146958,2,6.8
TIG135_149361,2,6.8
TIG135_150062,2,6.8
TIG135_150097,2,6.8
TIG135_153155,2,6.8
TIG135_153174,2,6.8
TIG135_153208,2,6.8
TIG135_176447,2,6.8
TIG135_176480,2,6.8
TIG135_186366,2,6.8
TIG135_186419,2,6.8
TIG135_186456,2,6.8
TIG135_232836,2,6.8
TIG135_232864,2,6.8
TIG114_2532346,2,8.0
TIG114_2532316,2,8.0
TIG114_2508325,2,8.0
TIG114_2508319,2,8.0
TIG114_2508288,2,8.0
TIG114_2508246,2,8.0
TIG114_2456468,2,9.1
TIG114_2345016,2,9.1
TIG114_2345001,2,9.1
TIG114_2283253,2,10.2
TIG114_2280117,2,11.4
TIG114_2194799,2,11.4
TIG114_2194789,2,11.4
TIG114_2194743,2,11.4
TIG114_2194596,2,11.4
TIG114_2194586,2,11.4
TIG114_2112152,2,12.5
TIG114_2017323,2,12.5
TIG114_1889693,2,34.1
TIG114_1889643,2,34.1
TIG114_1883200,2,34.1
TIG114_1883172,2,34.1
TIG114_1847636,2,34.1
TIG114_1807601,2,35.2
TIG114_1774042,2,46.6
TIG114_1773834,2,46.6
TIG114_1747111,2,47.7
TIG114_1745765,2,47.7
TIG114_1709614,2,47.7
TIG114_1709542,2,47.7
TIG114_1633102,2,47.7
TIG114_1632722,2,47.7
TIG114_1596453,2,47.7
TIG114_1560046,2,47.7
TIG114_1498068,2,47.7
TIG114_1498060,2,47.7
TIG114_1498047,2,47.7
TIG114_1497860,2,47.7
TIG114_1497766,2,47.7
TIG114_1497701,2,47.7
TIG114_1497692,2,47.7
TIG114_1468916,2,47.7
TIG114_1468892,2,47.7
TIG114_1335103,2,48.9
TIG114_1335095,2,48.9
TIG114_1335062,2,48.9
TIG114_1335054,2,48.9
TIG114_1287489,2,48.9
TIG114_1155063,2,48.9
TIG114_968015,2,48.9
TIG114_845523,2,48.9
TIG114_845514,2,48.9
TIG114_845395,2,48.9
TIG114_845339,2,48.9
TIG114_845334,2,48.9
TIG114_845315,2,48.9
TIG114_745227,2,59.1
TIG114_688799,2,63.6
TIG114_612112,2,63.6
TIG114_611727,2,63.6
TIG114_511146,2,63.6
TIG114_483797,2,63.6
TIG114_483512,2,63.6
TIG114_482216,2,63.6
TIG114_475174,2,63.6
TIG004_4853682,2,67.0
TIG004_4853649,2,67.0
TIG004_4853560,2,67.0
TIG004_4838922,2,67.0
TIG004_4823181,2,67.0
TIG004_4815218,2,67.0
TIG004_4722456,2,67.0
TIG004_4530859,2,69.3
TIG004_4391021,2,75.0
TIG004_4390902,2,75.0
TIG004_4390856,2,75.0
TIG004_4299179,2,77.3
TIG004_4280909,2,77.3
TIG004_4280667,2,77.3
TIG004_4264225,2,77.3
TIG004_4262776,2,77.3
TIG004_4259568,2,77.3
TIG004_4259160,2,77.3
TIG004_4232837,2,77.3
TIG004_4192246,2,77.3
TIG004_4180696,2,77.3
TIG004_4119445,2,77.3
TIG004_4119367,2,77.3
TIG004_3954345,2,77.3
TIG004_3954278,2,77.3
TIG004_3954215,2,77.3
TIG004_3954205,2,77.3
TIG004_3951009,2,77.3
TIG004_3950995,2,77.3
TIG004_3938302,2,78.4
TIG004_3938256,2,78.4
TIG004_3938064,2,78.4
TIG004_3938059,2,78.4
TIG004_3933782,2,78.4
TIG004_3882694,2,88.6
TIG004_3882629,2,88.6
TIG004_3740351,2,96.6
TIG004_3623693,2,96.6
TIG004_3503801,2,96.6
TIG004_3445640,2,96.6
TIG004_3379804,2,97.7
TIG004_3379744,2,97.7
TIG004_3298184,2,97.7
TIG004_3219047,2,102.3
