N,marker1,marker2,TIG_marker1,position in bp_marker1,markerdist,genetic_distance,LG
0,TIG046_36278,TIG046_446912,TIG046,36278,410634,0,LG1
0,TIG046_446912,TIG046_446992,TIG046,446912,80,0,LG1
0,TIG046_446992,TIG046_446997,TIG046,446992,5,0,LG1
0,TIG046_446997,TIG046_495595,TIG046,446997,48598,0,LG1
0,TIG046_495595,TIG046_523236,TIG046,495595,27641,0,LG1
0,TIG046_523236,TIG046_539373,TIG046,523236,16137,0,LG1
0,TIG137_85694,TIG137_85706,TIG137,85694,12,0,LG1
0,TIG137_85706,TIG137_85717,TIG137,85706,11,0,LG1
0,TIG137_85717,TIG137_85726,TIG137,85717,9,0,LG1
0,TIG137_85726,TIG137_85734,TIG137,85726,8,0,LG1
0,TIG137_85734,TIG137_101668,TIG137,85734,15934,0,LG1
0,TIG137_101668,TIG137_101722,TIG137,101668,54,0,LG1
1,TIG137_101722,TIG137_194896,TIG137,101722,93174,1.1,LG1
0,TIG137_194896,TIG137_194951,TIG137,194896,55,0,LG1
16,TIG137_194951,TIG137_326862,TIG137,194951,131911,18.2,LG1
0,TIG137_326862,TIG137_347040,TIG137,326862,20178,0,LG1
0,TIG137_347040,TIG137_347067,TIG137,347040,27,0,LG1
0,TIG137_347067,TIG137_485328,TIG137,347067,138261,0,LG1
0,TIG137_485328,TIG137_616544,TIG137,485328,131216,0,LG1
0,TIG137_616544,TIG137_616557,TIG137,616544,13,0,LG1
0,TIG137_616557,TIG137_616562,TIG137,616557,5,0,LG1
0,TIG137_616562,TIG137_616590,TIG137,616562,28,0,LG1
0,TIG137_616590,TIG137_616649,TIG137,616590,59,0,LG1
0,TIG137_616649,TIG137_616681,TIG137,616649,32,0,LG1
0,TIG137_616681,TIG137_648028,TIG137,616681,31347,0,LG1
0,TIG137_648028,TIG137_648036,TIG137,648028,8,0,LG1
0,TIG137_648036,TIG137_648046,TIG137,648036,10,0,LG1
0,TIG137_648046,TIG137_648217,TIG137,648046,171,0,LG1
0,TIG137_648217,TIG137_651581,TIG137,648217,3364,0,LG1
0,TIG137_651581,TIG137_651604,TIG137,651581,23,0,LG1
0,TIG137_651604,TIG137_651653,TIG137,651604,49,0,LG1
0,TIG137_651653,TIG137_651686,TIG137,651653,33,0,LG1
0,TIG137_651686,TIG137_651712,TIG137,651686,26,0,LG1
0,TIG137_651712,TIG137_651715,TIG137,651712,3,0,LG1
0,TIG137_651715,TIG137_651738,TIG137,651715,23,0,LG1
0,TIG137_651738,TIG137_654912,TIG137,651738,3174,0,LG1
0,TIG137_654912,TIG137_735709,TIG137,654912,80797,0,LG1
0,TIG137_735709,TIG137_764686,TIG137,735709,28977,0,LG1
0,TIG137_764686,TIG137_768878,TIG137,764686,4192,0,LG1
0,TIG137_768878,TIG137_769135,TIG137,768878,257,0,LG1
0,TIG137_769135,TIG137_769149,TIG137,769135,14,0,LG1
0,TIG137_769149,TIG137_769156,TIG137,769149,7,0,LG1
0,TIG137_769156,TIG137_769257,TIG137,769156,101,0,LG1
0,TIG137_769257,TIG137_833469,TIG137,769257,64212,0,LG1
0,TIG137_833469,TIG137_833586,TIG137,833469,117,0,LG1
0,TIG137_833586,TIG137_833636,TIG137,833586,50,0,LG1
0,TIG137_833636,TIG137_833671,TIG137,833636,35,0,LG1
0,TIG137_833671,TIG137_833705,TIG137,833671,34,0,LG1
0,TIG137_833705,TIG137_833799,TIG137,833705,94,0,LG1
0,TIG137_833799,TIG137_833864,TIG137,833799,65,0,LG1
0,TIG137_833864,TIG137_835461,TIG137,833864,1597,0,LG1
0,TIG137_835461,TIG137_835486,TIG137,835461,25,0,LG1
0,TIG137_835486,TIG137_835499,TIG137,835486,13,0,LG1
0,TIG137_835499,TIG137_839075,TIG137,835499,3576,0,LG1
0,TIG137_839075,TIG137_843651,TIG137,839075,4576,0,LG1
0,TIG137_843651,TIG137_848122,TIG137,843651,4471,0,LG1
0,TIG137_848122,TIG137_849049,TIG137,848122,927,0,LG1
0,TIG137_849049,TIG137_881426,TIG137,849049,32377,0,LG1
0,TIG137_881426,TIG137_988576,TIG137,881426,107150,0,LG1
6,TIG137_988576,TIG137_1018675,TIG137,988576,30099,6.8,LG1
6,TIG137_1018675,TIG137_1021530,TIG137,1018675,2855,6.9,LG1
0,TIG137_1021530,TIG137_1021582,TIG137,1021530,52,0,LG1
0,TIG137_1021582,TIG137_1021591,TIG137,1021582,9,0,LG1
4,TIG137_1021591,TIG137_1097152,TIG137,1021591,75561,4.5,LG1
0,TIG137_1097152,TIG137_1097217,TIG137,1097152,65,0,LG1
0,TIG137_1097217,TIG137_1097248,TIG137,1097217,31,0,LG1
0,TIG137_1097248,TIG137_1097260,TIG137,1097248,12,0,LG1
0,TIG137_1097260,TIG137_1097319,TIG137,1097260,59,0,LG1
0,TIG137_1097319,TIG137_1097330,TIG137,1097319,11,0,LG1
0,TIG137_1097330,TIG137_1097370,TIG137,1097330,40,0,LG1
0,TIG137_1097370,TIG137_1097527,TIG137,1097370,157,0,LG1
0,TIG137_1097527,TIG137_1109176,TIG137,1097527,11649,0,LG1
0,TIG137_1109176,TIG137_1123889,TIG137,1109176,14713,0,LG1
0,TIG137_1123889,TIG137_1123897,TIG137,1123889,8,0,LG1
0,TIG137_1123897,TIG137_1126059,TIG137,1123897,2162,0,LG1
0,TIG137_1126059,TIG137_1126090,TIG137,1126059,31,0,LG1
0,TIG137_1126090,TIG137_1126603,TIG137,1126090,513,0,LG1
0,TIG137_1126603,TIG137_1153062,TIG137,1126603,26459,0,LG1
0,TIG137_1153062,TIG137_1153396,TIG137,1153062,334,0,LG1
0,TIG137_1153396,TIG137_1178848,TIG137,1153396,25452,0,LG1
0,TIG137_1178848,TIG137_1204326,TIG137,1178848,25478,0,LG1
0,TIG137_1204326,TIG137_1209795,TIG137,1204326,5469,0,LG1
0,TIG137_1209795,TIG137_1209861,TIG137,1209795,66,0,LG1
0,TIG137_1209861,TIG137_1211480,TIG137,1209861,1619,0,LG1
0,TIG137_1211480,TIG137_1297653,TIG137,1211480,86173,0,LG1
0,TIG137_1297653,TIG137_1297675,TIG137,1297653,22,0,LG1
0,TIG137_1297675,TIG137_1297679,TIG137,1297675,4,0,LG1
0,TIG137_1297679,TIG137_1297743,TIG137,1297679,64,0,LG1
0,TIG137_1297743,TIG137_1297762,TIG137,1297743,19,0,LG1
0,TIG137_1297762,TIG137_1297775,TIG137,1297762,13,0,LG1
0,TIG137_1297775,TIG137_1297784,TIG137,1297775,9,0,LG1
0,TIG137_1297784,TIG137_1297823,TIG137,1297784,39,0,LG1
0,TIG137_1297823,TIG137_1301872,TIG137,1297823,4049,0,LG1
0,TIG137_1301872,TIG137_1317672,TIG137,1301872,15800,0,LG1
0,TIG137_1317672,TIG137_1324323,TIG137,1317672,6651,0,LG1
0,TIG137_1324323,TIG137_1327321,TIG137,1324323,2998,0,LG1
0,TIG137_1327321,TIG137_1354835,TIG137,1327321,27514,0,LG1
0,TIG137_1354835,TIG137_1354839,TIG137,1354835,4,0,LG1
0,TIG137_1354839,TIG137_1354852,TIG137,1354839,13,0,LG1
0,TIG137_1354852,TIG137_1354875,TIG137,1354852,23,0,LG1
0,TIG137_1354875,TIG137_1379851,TIG137,1354875,24976,0,LG1
0,TIG137_1379851,TIG137_1380062,TIG137,1379851,211,0,LG1
0,TIG137_1380062,TIG137_1446489,TIG137,1380062,66427,0,LG1
0,TIG137_1446489,TIG137_1446524,TIG137,1446489,35,0,LG1
0,TIG137_1446524,TIG137_1446639,TIG137,1446524,115,0,LG1
0,TIG137_1446639,TIG137_1561032,TIG137,1446639,114393,0,LG1
0,TIG137_1561032,TIG137_1561074,TIG137,1561032,42,0,LG1
0,TIG137_1561074,TIG137_1561300,TIG137,1561074,226,0,LG1
3,TIG137_1561300,TIG137_1673212,TIG137,1561300,111912,3.4,LG1
0,TIG137_1673212,TIG137_1712137,TIG137,1673212,38925,0,LG1
12,TIG137_1712137,TIG137_1838917,TIG137,1712137,126780,13.6,LG1
0,TIG137_1838917,TIG137_1838980,TIG137,1838917,63,0,LG1
0,TIG003_257271,TIG003_575869,TIG003,257271,318598,0,LG1
0,TIG003_575869,TIG003_611904,TIG003,575869,36035,0,LG1
0,TIG003_611904,TIG003_611914,TIG003,611904,10,0,LG1
0,TIG003_611914,TIG003_611951,TIG003,611914,37,0,LG1
13,TIG003_611951,TIG003_719386,TIG003,611951,107435,14.8,LG1
0,TIG003_719386,TIG003_755682,TIG003,719386,36296,0,LG1
0,TIG003_755682,TIG003_815146,TIG003,755682,59464,0,LG1
0,TIG003_815146,TIG003_886870,TIG003,815146,71724,0,LG1
0,TIG003_886870,TIG003_919207,TIG003,886870,32337,0,LG1
0,TIG003_919207,TIG003_921894,TIG003,919207,2687,0,LG1
0,TIG003_921894,TIG003_948604,TIG003,921894,26710,0,LG1
0,TIG003_948604,TIG003_987454,TIG003,948604,38850,0,LG1
0,TIG003_987454,TIG003_1009097,TIG003,987454,21643,0,LG1
0,TIG003_1009097,TIG003_1028527,TIG003,1009097,19430,0,LG1
0,TIG003_1028527,TIG003_1030066,TIG003,1028527,1539,0,LG1
0,TIG003_1030066,TIG003_1030456,TIG003,1030066,390,0,LG1
0,TIG003_1030456,TIG003_1030742,TIG003,1030456,286,0,LG1
0,TIG003_1030742,TIG003_1032713,TIG003,1030742,1971,0,LG1
0,TIG003_1032713,TIG003_1058288,TIG003,1032713,25575,0,LG1
0,TIG003_1058288,TIG003_1069724,TIG003,1058288,11436,0,LG1
0,TIG003_1069724,TIG003_1100262,TIG003,1069724,30538,0,LG1
0,TIG003_1100262,TIG003_1100272,TIG003,1100262,10,0,LG1
0,TIG003_1100272,TIG003_1103588,TIG003,1100272,3316,0,LG1
0,TIG003_1103588,TIG003_1103606,TIG003,1103588,18,0,LG1
0,TIG003_1103606,TIG003_1103615,TIG003,1103606,9,0,LG1
0,TIG003_1103615,TIG003_1109265,TIG003,1103615,5650,0,LG1
0,TIG003_1109265,TIG003_1109282,TIG003,1109265,17,0,LG1
0,TIG003_1109282,TIG003_1109309,TIG003,1109282,27,0,LG1
0,TIG003_1109309,TIG003_1109315,TIG003,1109309,6,0,LG1
0,TIG003_1109315,TIG003_1147342,TIG003,1109315,38027,0,LG1
0,TIG003_1147342,TIG003_1147451,TIG003,1147342,109,0,LG1
0,TIG003_1147451,TIG003_1147521,TIG003,1147451,70,0,LG1
0,TIG003_1147521,TIG003_1161265,TIG003,1147521,13744,0,LG1
0,TIG003_1161265,TIG003_1161310,TIG003,1161265,45,0,LG1
0,TIG003_1161310,TIG003_1161613,TIG003,1161310,303,0,LG1
