marker,LG,position
TIG116_62089,3,0
TIG116_187305,3,11.36363636
TIG116_187321,3,11.36363636
TIG116_195722,3,11.36363636
TIG116_195762,3,11.36363636
TIG116_195941,3,11.36363636
TIG116_195949,3,11.36363636
TIG116_201867,3,11.36363636
TIG116_201903,3,11.36363636
TIG116_201907,3,11.36363636
TIG116_201910,3,11.36363636
TIG116_201919,3,11.36363636
TIG116_204196,3,11.36363636
TIG116_204411,3,11.36363636
TIG116_248013,3,11.36363636
TIG116_248154,3,11.36363636
TIG116_248156,3,11.36363636
TIG116_248274,3,11.36363636
TIG116_248284,3,11.36363636
TIG116_248457,3,11.36363636
TIG116_248494,3,11.36363636
TIG116_320674,3,11.36363636
TIG116_320898,3,11.36363636
TIG116_326734,3,11.36363636
TIG116_332739,3,11.36363636
TIG116_332918,3,11.36363636
TIG116_336034,3,11.36363636
TIG116_344033,3,11.36363636
TIG116_344062,3,11.36363636
TIG116_347568,3,11.36363636
TIG116_367145,3,11.36363636
TIG116_367152,3,11.36363636
TIG116_367160,3,11.36363636
TIG116_367191,3,11.36363636
TIG116_367214,3,11.36363636
TIG116_367247,3,11.36363636
TIG116_367287,3,11.36363636
TIG116_367310,3,11.36363636
TIG116_379437,3,12.5
TIG116_417696,3,15.90909091
TIG116_475881,3,27.27272727
TIG116_561998,3,27.27272727
TIG116_628840,3,28.40909091
TIG116_628861,3,28.40909091
TIG116_650530,3,28.40909091
TIG116_650582,3,28.40909091
TIG116_692253,3,28.40909091
TIG116_726941,3,28.40909091
TIG116_726976,3,28.40909091
TIG116_727004,3,28.40909091
TIG116_727046,3,28.40909091
TIG116_727134,3,28.40909091
TIG116_727197,3,28.40909091
TIG116_727215,3,28.40909091
TIG116_727236,3,28.40909091
TIG116_727364,3,28.40909091
TIG116_727487,3,28.40909091
TIG116_727595,3,28.40909091
TIG116_727668,3,28.40909091
TIG116_796303,3,29.54545455
TIG116_796442,3,29.54545455
TIG116_900736,3,72.72727273
TIG116_925849,3,77.27272727
TIG116_983348,3,77.27272727
TIG116_983390,3,77.27272727
TIG116_983396,3,77.27272727
TIG116_988723,3,78.40909091
TIG116_988726,3,78.40909091
TIG116_988739,3,78.40909091
TIG116_988743,3,78.40909091
TIG116_988777,3,78.40909091
TIG116_988800,3,78.40909091
TIG116_988944,3,78.40909091
TIG116_999438,3,78.40909091
TIG116_1023193,3,79.54545455
TIG116_1026633,3,79.54545455
TIG116_1038617,3,79.54545455
TIG116_1062612,3,80.68181818
TIG116_1062682,3,80.68181818
TIG116_1062721,3,80.68181818
TIG116_1144112,3,80.68181818
TIG116_1181399,3,80.68181818
TIG116_1183418,3,80.68181818
TIG116_1207376,3,80.68181818
TIG116_1207405,3,80.68181818
TIG116_1207469,3,80.68181818
TIG116_1209492,3,80.68181818
TIG116_1209571,3,80.68181818
TIG116_1209612,3,80.68181818
TIG116_1209619,3,80.68181818
TIG116_1217116,3,80.68181818
TIG116_1217125,3,80.68181818
TIG116_1247831,3,80.68181818
TIG116_1253161,3,80.68181818
TIG116_1253217,3,80.68181818
TIG116_1253224,3,80.68181818
TIG116_1262739,3,80.68181818
TIG116_1262744,3,80.68181818
TIG116_1262828,3,80.68181818
TIG116_1297550,3,80.68181818
TIG116_1298648,3,80.68181818
TIG116_1298661,3,80.68181818
TIG116_1312576,3,80.68181818
TIG116_1312613,3,80.68181818
TIG116_1356596,3,80.68181818
TIG116_1403816,3,80.68181818
TIG116_1403852,3,80.68181818
TIG116_1403900,3,80.68181818
TIG116_1469827,3,80.68181818
TIG116_1470076,3,80.68181818
TIG116_1494331,3,80.68181818
TIG116_1494365,3,80.68181818
TIG116_1500729,3,80.68181818
TIG116_1500750,3,80.68181818
TIG116_1500758,3,80.68181818
TIG116_1500759,3,80.68181818
TIG116_1500881,3,80.68181818
TIG116_1506601,3,80.68181818
TIG116_1506609,3,80.68181818
TIG116_1506649,3,80.68181818
TIG116_1506663,3,80.68181818
TIG116_1514483,3,80.68181818
TIG116_1578217,3,80.68181818
TIG116_1603110,3,80.68181818
TIG116_1765601,3,92.04545455
TIG116_1765713,3,92.04545455
TIG116_1765724,3,92.04545455
TIG116_1765781,3,92.04545455
TIG116_1788629,3,92.04545455
TIG116_1809009,3,92.04545455
TIG116_1826174,3,92.04545455
TIG116_1826284,3,92.04545455
TIG116_1826347,3,92.04545455
TIG116_1897166,3,92.04545455
TIG116_1897233,3,92.04545455
TIG116_1897239,3,92.04545455
TIG116_1932853,3,92.04545455
TIG116_1933119,3,92.04545455
TIG116_1934373,3,92.04545455
TIG116_1954100,3,92.04545455
TIG116_1954219,3,92.04545455
TIG116_1977750,3,92.04545455
TIG116_2013499,3,92.04545455
TIG116_2154510,3,94.31818182
TIG116_2154566,3,94.31818182
TIG116_2154720,3,94.31818182
TIG116_2154738,3,94.31818182
TIG116_2154747,3,94.31818182
TIG116_2154788,3,94.31818182
TIG116_2154871,3,94.31818182
TIG116_2154966,3,94.31818182
TIG116_2154989,3,94.31818182
TIG116_2154995,3,94.31818182
TIG116_2155006,3,94.31818182
TIG116_2248554,3,97.72727273
TIG116_2249389,3,97.72727273
TIG116_2267067,3,97.72727273
TIG116_2410974,3,97.72727273
TIG116_2491837,3,97.72727273
TIG116_2491844,3,97.72727273
TIG116_2545470,3,97.72727273
TIG116_2545510,3,97.72727273
TIG116_2545517,3,97.72727273
