marker,LG,position,TIG,position,bp,Mbp,,,,LG
TIG046_36278,LG1,0,TIG046,36278,36278,0.036278,,,,LG1
TIG046_446912,LG1,0,TIG046,446912,446912,0.446912,,,,LG2
TIG046_446992,LG1,0,TIG046,446992,446992,0.446992,,,,LG3a
TIG046_446997,LG1,0,TIG046,446997,446997,0.446997,,,,LG3b
TIG046_495595,LG1,0,TIG046,495595,495595,0.495595,,,,LG4
TIG046_523236,LG1,0,TIG046,523236,523236,0.523236,,,,LG5_LG11
TIG046_539373,LG1,0,TIG046,539373,539373,0.539373,,,,LG6
ENDOFTIG,LG2,NA,TIG046,606343,606343,0.606343,,,,LG7_LG11
TIG137_85694,LG1,0,TIG137,85694,692037,0.692037,,,,LG9
TIG137_85706,LG1,0,TIG137,85706,692049,0.692049,,,,LG10_TIG058
TIG137_85717,LG1,0,TIG137,85717,692060,0.69206,,,,LG12
TIG137_85726,LG1,0,TIG137,85726,692069,0.692069,,,,LG13
TIG137_85734,LG1,0,TIG137,85734,692077,0.692077,,,,LG14
TIG137_101668,LG1,0,TIG137,101668,708011,0.708011,,,,LG15
TIG137_101722,LG1,0,TIG137,101722,708065,0.708065,,,,
TIG137_194896,LG1,1.1,TIG137,194896,801239,0.801239,,,,
TIG137_194951,LG1,1.1,TIG137,194951,801294,0.801294,,,,
TIG137_326862,LG1,19.3,TIG137,326862,933205,0.933205,,,,
TIG137_347040,LG1,19.3,TIG137,347040,953383,0.953383,,,,
TIG137_347067,LG1,19.3,TIG137,347067,953410,0.95341,,,,
TIG137_485328,LG1,19.3,TIG137,485328,1091671,1.091671,,,,
TIG137_616544,LG1,19.3,TIG137,616544,1222887,1.222887,,,,
TIG137_616557,LG1,19.3,TIG137,616557,1222900,1.2229,,,,
TIG137_616562,LG1,19.3,TIG137,616562,1222905,1.222905,,,,
TIG137_616590,LG1,19.3,TIG137,616590,1222933,1.222933,,,,
TIG137_616649,LG1,19.3,TIG137,616649,1222992,1.222992,,,,
TIG137_616681,LG1,19.3,TIG137,616681,1223024,1.223024,,,,
TIG137_648028,LG1,19.3,TIG137,648028,1254371,1.254371,,,,
TIG137_648036,LG1,19.3,TIG137,648036,1254379,1.254379,,,,
TIG137_648046,LG1,19.3,TIG137,648046,1254389,1.254389,,,,
TIG137_648217,LG1,19.3,TIG137,648217,1254560,1.25456,,,,
TIG137_651581,LG1,19.3,TIG137,651581,1257924,1.257924,,,,
TIG137_651604,LG1,19.3,TIG137,651604,1257947,1.257947,,,,
TIG137_651653,LG1,19.3,TIG137,651653,1257996,1.257996,,,,
TIG137_651686,LG1,19.3,TIG137,651686,1258029,1.258029,,,,
TIG137_651712,LG1,19.3,TIG137,651712,1258055,1.258055,,,,
TIG137_651715,LG1,19.3,TIG137,651715,1258058,1.258058,,,,
TIG137_651738,LG1,19.3,TIG137,651738,1258081,1.258081,,,,
TIG137_654912,LG1,19.3,TIG137,654912,1261255,1.261255,,,,
TIG137_735709,LG1,19.3,TIG137,735709,1342052,1.342052,,,,
TIG137_764686,LG1,19.3,TIG137,764686,1371029,1.371029,,,,
TIG137_768878,LG1,19.3,TIG137,768878,1375221,1.375221,,,,
TIG137_769135,LG1,19.3,TIG137,769135,1375478,1.375478,,,,
TIG137_769149,LG1,19.3,TIG137,769149,1375492,1.375492,,,,
TIG137_769156,LG1,19.3,TIG137,769156,1375499,1.375499,,,,
TIG137_769257,LG1,19.3,TIG137,769257,1375600,1.3756,,,,
TIG137_833469,LG1,19.3,TIG137,833469,1439812,1.439812,,,,
TIG137_833586,LG1,19.3,TIG137,833586,1439929,1.439929,,,,
TIG137_833636,LG1,19.3,TIG137,833636,1439979,1.439979,,,,
TIG137_833671,LG1,19.3,TIG137,833671,1440014,1.440014,,,,
TIG137_833705,LG1,19.3,TIG137,833705,1440048,1.440048,,,,
TIG137_833799,LG1,19.3,TIG137,833799,1440142,1.440142,,,,
TIG137_833864,LG1,19.3,TIG137,833864,1440207,1.440207,,,,
TIG137_835461,LG1,19.3,TIG137,835461,1441804,1.441804,,,,
TIG137_835486,LG1,19.3,TIG137,835486,1441829,1.441829,,,,
TIG137_835499,LG1,19.3,TIG137,835499,1441842,1.441842,,,,
TIG137_839075,LG1,19.3,TIG137,839075,1445418,1.445418,,,,
TIG137_843651,LG1,19.3,TIG137,843651,1449994,1.449994,,,,
TIG137_848122,LG1,19.3,TIG137,848122,1454465,1.454465,,,,
TIG137_849049,LG1,19.3,TIG137,849049,1455392,1.455392,,,,
TIG137_881426,LG1,19.3,TIG137,881426,1487769,1.487769,,,,
TIG137_988576,LG1,19.3,TIG137,988576,1594919,1.594919,,,,
