marker,LG,position
TIG046_36278,1,71.6
TIG046_446912,1,71.6
TIG046_446992,1,71.6
TIG046_446997,1,71.6
TIG046_495595,1,71.6
TIG046_523236,1,71.6
TIG046_539373,1,71.6
TIG137_85694,1,71.6
TIG137_85706,1,71.6
TIG137_85717,1,71.6
TIG137_85726,1,71.6
TIG137_85734,1,71.6
TIG137_101668,1,71.6
TIG137_101722,1,71.6
TIG137_194896,1,70.5
TIG137_194951,1,70.5
TIG137_326862,1,52.3
TIG137_347040,1,52.3
TIG137_347067,1,52.3
TIG137_485328,1,52.3
TIG137_616544,1,52.3
TIG137_616557,1,52.3
TIG137_616562,1,52.3
TIG137_616590,1,52.3
TIG137_616649,1,52.3
TIG137_616681,1,52.3
TIG137_648028,1,52.3
TIG137_648036,1,52.3
TIG137_648046,1,52.3
TIG137_648217,1,52.3
TIG137_651581,1,52.3
TIG137_651604,1,52.3
TIG137_651653,1,52.3
TIG137_651686,1,52.3
TIG137_651712,1,52.3
TIG137_651715,1,52.3
TIG137_651738,1,52.3
TIG137_654912,1,52.3
TIG137_735709,1,52.3
TIG137_764686,1,52.3
TIG137_768878,1,52.3
TIG137_769135,1,52.3
TIG137_769149,1,52.3
TIG137_769156,1,52.3
TIG137_769257,1,52.3
TIG137_833469,1,52.3
TIG137_833586,1,52.3
TIG137_833636,1,52.3
TIG137_833671,1,52.3
TIG137_833705,1,52.3
TIG137_833799,1,52.3
TIG137_833864,1,52.3
TIG137_835461,1,52.3
TIG137_835486,1,52.3
TIG137_835499,1,52.3
TIG137_839075,1,52.3
TIG137_843651,1,52.3
TIG137_848122,1,52.3
TIG137_849049,1,52.3
TIG137_881426,1,52.3
TIG137_988576,1,52.3
TIG137_1018675,1,45.5
TIG137_1021530,1,38.6
TIG137_1021582,1,38.6
TIG137_1021591,1,38.6
TIG137_1097152,1,34.1
TIG137_1097217,1,34.1
TIG137_1097248,1,34.1
TIG137_1097260,1,34.1
TIG137_1097319,1,34.1
TIG137_1097330,1,34.1
TIG137_1097370,1,34.1
TIG137_1097527,1,34.1
TIG137_1109176,1,34.1
TIG137_1123889,1,34.1
TIG137_1123897,1,34.1
TIG137_1126059,1,34.1
TIG137_1126090,1,34.1
TIG137_1126603,1,34.1
TIG137_1153062,1,34.1
TIG137_1153396,1,34.1
TIG137_1178848,1,34.1
TIG137_1204326,1,34.1
TIG137_1209795,1,34.1
TIG137_1209861,1,34.1
TIG137_1211480,1,34.1
TIG137_1297653,1,34.1
TIG137_1297675,1,34.1
TIG137_1297679,1,34.1
TIG137_1297743,1,34.1
TIG137_1297762,1,34.1
TIG137_1297775,1,34.1
TIG137_1297784,1,34.1
TIG137_1297823,1,34.1
TIG137_1301872,1,34.1
TIG137_1317672,1,34.1
TIG137_1324323,1,34.1
TIG137_1327321,1,34.1
TIG137_1354835,1,34.1
TIG137_1354839,1,34.1
TIG137_1354852,1,34.1
TIG137_1354875,1,34.1
TIG137_1379851,1,34.1
TIG137_1380062,1,34.1
TIG137_1446489,1,34.1
TIG137_1446524,1,34.1
TIG137_1446639,1,34.1
TIG137_1561032,1,34.1
TIG137_1561074,1,34.1
TIG137_1561300,1,34.1
TIG137_1673212,1,30.7
TIG137_1712137,1,30.7
TIG137_1838917,1,17.0
TIG137_1838980,1,17.0
TIG003_257271,1,17.0
TIG003_575869,1,17.0
TIG003_611904,1,17.0
TIG003_611914,1,17.0
TIG003_611951,1,17.0
TIG003_719386,1,2.3
TIG003_755682,1,2.3
TIG003_815146,1,2.3
TIG003_886870,1,2.3
TIG003_919207,1,2.3
TIG003_921894,1,2.3
TIG003_948604,1,2.3
TIG003_987454,1,2.3
TIG003_1009097,1,2.3
TIG003_1028527,1,2.3
TIG003_1030066,1,2.3
TIG003_1030456,1,2.3
TIG003_1030742,1,2.3
TIG003_1032713,1,2.3
TIG003_1058288,1,2.3
TIG003_1069724,1,2.3
TIG003_1100262,1,2.3
TIG003_1100272,1,2.3
TIG003_1103588,1,2.3
TIG003_1103606,1,2.3
TIG003_1103615,1,2.3
TIG003_1109265,1,2.3
TIG003_1109282,1,2.3
TIG003_1109309,1,2.3
TIG003_1109315,1,2.3
TIG003_1147342,1,2.3
TIG003_1147451,1,2.3
TIG003_1147521,1,2.3
TIG003_1161265,1,2.3
TIG003_1161310,1,2.3
TIG003_1161613,1,2.3
TIG003_1161686,1,2.3
TIG003_1161782,1,2.3
TIG003_1161995,1,2.3
TIG003_1162032,1,2.3
TIG003_1165833,1,2.3
TIG003_1165864,1,2.3
TIG003_1183750,1,2.3
TIG003_1183794,1,2.3
TIG003_1186464,1,2.3
TIG003_1219462,1,2.3
TIG003_1219483,1,2.3
TIG003_1219696,1,2.3
TIG003_1219719,1,2.3
TIG003_1219740,1,2.3
TIG003_1222871,1,2.3
TIG003_1324422,1,0.0
TIG003_1352904,1,0.0
